# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.168016E+02    0.106245E+01    0.317113E-01    0.436166E+00    0.110403E-01    0.188007E+00    0.320744E-01    0.745323E-02
    0.170669E+02    0.113997E+01    0.325624E-01    0.462905E+00    0.111294E-01    0.192517E+00    0.353452E-01    0.710888E-02
    0.173349E+02    0.123935E+01    0.331298E-01    0.496487E+00    0.110692E-01    0.194483E+00    0.395698E-01    0.660510E-02
    0.176057E+02    0.138133E+01    0.344592E-01    0.543198E+00    0.111649E-01    0.199228E+00    0.456384E-01    0.607538E-02
    0.178792E+02    0.163038E+01    0.393254E-01    0.621889E+00    0.121233E-01    0.219691E+00    0.562798E-01    0.568251E-02
    0.181554E+02    0.212285E+01    0.242755E+00    0.768491E+00    0.686334E-01    0.126294E+01    0.776202E-01    0.247428E-01
    0.182000E+02    0.222330E+01    0.473255E+00    0.800161E+00    0.131448E+00    0.242476E+01    0.836754E-01    0.445893E-01
    0.182014E+02    0.222409E+01    0.488346E+00    0.800688E+00    0.135600E+00    0.250154E+01    0.838805E-01    0.459264E-01
    0.182054E+02    0.222137E+01    0.513042E+00    0.800462E+00    0.142475E+00    0.262896E+01    0.840708E-01    0.482164E-01
    0.182122E+02    0.221930E+01    0.548501E+00    0.800692E+00    0.152303E+00    0.281135E+01    0.844411E-01    0.514313E-01
    0.182218E+02    0.221645E+01    0.595677E+00    0.801055E+00    0.165369E+00    0.305413E+01    0.849757E-01    0.556687E-01
    0.182340E+02    0.221001E+01    0.655308E+00    0.800864E+00    0.181943E+00    0.336248E+01    0.856170E-01    0.610522E-01
    0.182490E+02    0.219569E+01    0.727849E+00    0.799057E+00    0.202286E+00    0.374152E+01    0.862675E-01    0.677562E-01
    0.182667E+02    0.216647E+01    0.813462E+00    0.793845E+00    0.226737E+00    0.419783E+01    0.867508E-01    0.761081E-01
    0.182871E+02    0.210761E+01    0.911977E+00    0.781330E+00    0.255982E+00    0.474457E+01    0.866524E-01    0.869465E-01
    0.183102E+02    0.201696E+01    0.983070E+00    0.759266E+00    0.279398E+00    0.518513E+01    0.850990E-01    0.976387E-01
    0.183361E+02    0.192733E+01    0.100226E+01    0.735149E+00    0.288812E+00    0.536741E+01    0.824721E-01    0.104688E+00
    0.183646E+02    0.185631E+01    0.101888E+01    0.715940E+00    0.296888E+00    0.552608E+01    0.804762E-01    0.110789E+00
    0.183959E+02    0.179267E+01    0.103315E+01    0.698577E+00    0.304121E+00    0.567037E+01    0.787138E-01    0.116523E+00
    0.184299E+02    0.173463E+01    0.104090E+01    0.682360E+00    0.309357E+00    0.577867E+01    0.769902E-01    0.121577E+00
    0.184667E+02    0.168364E+01    0.104559E+01    0.667900E+00    0.313446E+00    0.586672E+01    0.754356E-01    0.126048E+00
    0.185061E+02    0.163883E+01    0.105008E+01    0.655132E+00    0.317220E+00    0.595004E+01    0.740980E-01    0.130184E+00
