# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.185483E+02    0.159831E+01    0.105583E+01    0.643616E+00    0.321192E+00    0.603826E+01    0.729576E-01    0.134227E+00
    0.185932E+02    0.156027E+01    0.106287E+01    0.632849E+00    0.325466E+00    0.613343E+01    0.719577E-01    0.138311E+00
    0.186408E+02    0.152280E+01    0.107155E+01    0.622303E+00    0.330255E+00    0.623962E+01    0.710510E-01    0.142631E+00
    0.186912E+02    0.148506E+01    0.107897E+01    0.611560E+00    0.334758E+00    0.634177E+01    0.701164E-01    0.147004E+00
    0.187442E+02    0.144804E+01    0.108426E+01    0.600852E+00    0.338651E+00    0.643373E+01    0.691524E-01    0.151253E+00
    0.188000E+02    0.140996E+01    0.109062E+01    0.589846E+00    0.342995E+00    0.653566E+01    0.682150E-01    0.155861E+00
    0.188585E+02    0.137291E+01    0.108744E+01    0.578470E+00    0.344461E+00    0.658401E+01    0.669824E-01    0.159607E+00
    0.189197E+02    0.134178E+01    0.108166E+01    0.568647E+00    0.344775E+00    0.661141E+01    0.658391E-01    0.162559E+00
    0.189837E+02    0.131625E+01    0.107570E+01    0.560464E+00    0.344674E+00    0.663182E+01    0.648592E-01    0.164931E+00
    0.190504E+02    0.129546E+01    0.107092E+01    0.553775E+00    0.344620E+00    0.665406E+01    0.640657E-01    0.166915E+00
    0.191197E+02    0.128080E+01    0.106587E+01    0.548931E+00    0.344067E+00    0.666759E+01    0.634437E-01    0.168168E+00
    0.191919E+02    0.127072E+01    0.106993E+01    0.546106E+00    0.346009E+00    0.673050E+01    0.633035E-01    0.169806E+00
    0.192667E+02    0.125841E+01    0.108295E+01    0.543217E+00    0.350875E+00    0.685177E+01    0.634493E-01    0.172632E+00
    0.193442E+02    0.124152E+01    0.109769E+01    0.539055E+00    0.356613E+00    0.699185E+01    0.635465E-01    0.176214E+00
    0.194245E+02    0.121968E+01    0.111552E+01    0.533606E+00    0.363691E+00    0.716021E+01    0.636512E-01    0.180757E+00
    0.195075E+02    0.118869E+01    0.113544E+01    0.525512E+00    0.372151E+00    0.735808E+01    0.636302E-01    0.186763E+00
    0.195932E+02    0.114593E+01    0.114792E+01    0.513208E+00    0.379301E+00    0.753240E+01    0.630412E-01    0.193816E+00
    0.196817E+02    0.110586E+01    0.113116E+01    0.499381E+00    0.377210E+00    0.752468E+01    0.613017E-01    0.197958E+00
    0.197728E+02    0.107951E+01    0.111296E+01    0.489650E+00    0.373564E+00    0.748648E+01    0.598475E-01    0.200064E+00
    0.198667E+02    0.106171E+01    0.109456E+01    0.482559E+00    0.369146E+00    0.743305E+01    0.585982E-01    0.200884E+00
    0.199633E+02    0.105087E+01    0.107567E+01    0.477619E+00    0.363987E+00    0.736480E+01    0.575031E-01    0.200567E+00
    0.200626E+02    0.104828E+01    0.105543E+01    0.475209E+00    0.357722E+00    0.727405E+01    0.565643E-01    0.198786E+00
    0.201647E+02    0.105330E+01    0.103982E+01    0.475614E+00    0.352335E+00    0.720095E+01    0.560306E-01    0.196294E+00
    0.202694E+02    0.106657E+01    0.102360E+01    0.478639E+00    0.346130E+00    0.711089E+01    0.557042E-01    0.192462E+00
    0.203769E+02    0.109105E+01    0.101273E+01    0.485671E+00    0.340831E+00    0.703916E+01    0.559265E-01    0.187607E+00
    0.204871E+02    0.112273E+01    0.101552E+01    0.495972E+00    0.339418E+00    0.704788E+01    0.569248E-01    0.183398E+00
    0.206000E+02    0.116496E+01    0.101879E+01    0.509579E+00    0.337443E+00    0.704549E+01    0.582574E-01    0.177955E+00
    0.207157E+02    0.121470E+01    0.105175E+01    0.527489E+00    0.344275E+00    0.722850E+01    0.609784E-01    0.174969E+00
    0.208341E+02    0.126006E+01    0.110177E+01    0.545053E+00    0.356547E+00    0.752895E+01    0.642311E-01    0.174281E+00
    0.209552E+02    0.131139E+01    0.115579E+01    0.564551E+00    0.369367E+00    0.784500E+01    0.677977E-01    0.173065E+00
    0.210790E+02    0.135086E+01    0.127172E+01    0.584874E+00    0.401207E+00    0.857159E+01    0.735172E-01    0.178018E+00
    0.212055E+02    0.135668E+01    0.139386E+01    0.596045E+00    0.436662E+00    0.938506E+01    0.787783E-01    0.185927E+00
    0.213348E+02    0.133525E+01    0.152853E+01    0.600979E+00    0.477373E+00    0.103226E+02    0.842360E-01    0.196222E+00
    0.214667E+02    0.127452E+01    0.168048E+01    0.597264E+00    0.526050E+00    0.114455E+02    0.902032E-01    0.210127E+00
    0.216014E+02    0.114881E+01    0.183919E+01    0.577535E+00    0.582932E+00    0.127627E+02    0.964211E-01    0.229899E+00
    0.217388E+02    0.983521E+00    0.190937E+01    0.538946E+00    0.620350E+00    0.136684E+02    0.988565E-01    0.251894E+00
    0.218790E+02    0.819347E+00    0.194495E+01    0.497095E+00    0.649574E+00    0.144045E+02    0.100497E+00    0.274213E+00
    0.220218E+02    0.633925E+00    0.197011E+01    0.448003E+00    0.680285E+00    0.151841E+02    0.102780E+00    0.300732E+00
    0.221674E+02    0.467837E+00    0.186852E+01    0.386353E+00    0.673898E+00    0.151409E+02    0.981338E-01    0.330951E+00
    0.223157E+02    0.370358E+00    0.176234E+01    0.342159E+00    0.656531E+00    0.148494E+02    0.926365E-01    0.353619E+00
    0.224667E+02    0.315088E+00    0.167149E+01    0.311851E+00    0.637075E+00    0.145069E+02    0.874904E-01    0.369526E+00
    0.226205E+02    0.277843E+00    0.160346E+01    0.290000E+00    0.621496E+00    0.142490E+02    0.835395E-01    0.381416E+00
    0.227770E+02    0.253439E+00    0.153274E+01    0.271502E+00    0.602726E+00    0.139142E+02    0.791223E-01    0.390965E+00
    0.229361E+02    0.241910E+00    0.147876E+01    0.259561E+00    0.587013E+00    0.136462E+02    0.755855E-01    0.396549E+00
    0.230980E+02    0.239896E+00    0.142810E+01    0.251228E+00    0.570681E+00    0.133602E+02    0.720825E-01    0.399266E+00
    0.232627E+02    0.255921E+00    0.138420E+01    0.249994E+00    0.553682E+00    0.130546E+02    0.687388E-01    0.396239E+00
    0.234300E+02    0.270033E+00    0.138990E+01    0.255547E+00    0.553504E+00    0.131443E+02    0.689063E-01    0.392095E+00
    0.236001E+02    0.264563E+00    0.139563E+01    0.254568E+00    0.556218E+00    0.133046E+02    0.693902E-01    0.393479E+00
    0.237729E+02    0.249337E+00    0.140142E+01    0.250358E+00    0.560409E+00    0.135030E+02    0.700494E-01    0.397586E+00
    0.239484E+02    0.227048E+00    0.140729E+01    0.243817E+00    0.565715E+00    0.137315E+02    0.708680E-01    0.403685E+00
    0.241266E+02    0.197063E+00    0.141326E+01    0.234739E+00    0.572291E+00    0.139945E+02    0.718997E-01    0.411997E+00
    0.243076E+02    0.161311E+00    0.141212E+01    0.222625E+00    0.577496E+00    0.142277E+02    0.726384E-01    0.422446E+00
    0.244913E+02    0.120175E+00    0.140958E+01    0.208438E+00    0.583222E+00    0.144773E+02    0.735229E-01    0.434827E+00
    0.246777E+02    0.704932E-01    0.139910E+01    0.189990E+00    0.587863E+00    0.147036E+02    0.742329E-01    0.450823E+00
    0.248668E+02    0.264770E-01    0.135829E+01    0.168120E+00    0.581401E+00    0.146534E+02    0.726947E-01    0.468601E+00
    0.250586E+02   -0.867014E-03    0.131655E+01    0.151495E+00    0.571672E+00    0.145194E+02    0.705766E-01    0.481975E+00
    0.252532E+02   -0.151676E-01    0.127307E+01    0.138940E+00    0.558884E+00    0.143048E+02    0.678591E-01    0.491419E+00
    0.254505E+02   -0.121495E-01    0.122809E+01    0.132241E+00    0.542327E+00    0.139894E+02    0.643738E-01    0.494390E+00
    0.256505E+02    0.244458E-01    0.118243E+01    0.137748E+00    0.519638E+00    0.135095E+02    0.597105E-01    0.483092E+00
    0.258532E+02    0.615043E-01    0.122421E+01    0.157980E+00    0.528596E+00    0.138510E+02    0.616599E-01    0.466280E+00
    0.260586E+02    0.590656E-01    0.127467E+01    0.165396E+00    0.546884E+00    0.144441E+02    0.654444E-01    0.464123E+00
    0.262668E+02    0.279273E-01    0.132182E+01    0.162411E+00    0.568570E+00    0.151368E+02    0.699397E-01    0.471431E+00
    0.264777E+02   -0.239883E-01    0.135936E+01    0.150971E+00    0.590528E+00    0.158476E+02    0.746705E-01    0.485406E+00
    0.266913E+02   -0.102800E+00    0.139712E+01    0.130839E+00    0.617734E+00    0.167115E+02    0.810055E-01    0.506771E+00
    0.269076E+02   -0.197608E+00    0.138612E+01    0.963577E-01    0.632146E+00    0.172400E+02    0.852870E-01    0.540364E+00
    0.271267E+02   -0.280734E+00    0.134538E+01    0.594434E-01    0.634944E+00    0.174573E+02    0.875640E-01    0.578065E+00
    0.273485E+02   -0.356911E+00    0.130429E+01    0.240376E-01    0.636839E+00    0.176525E+02    0.902077E-01    0.616761E+00
    0.275730E+02   -0.419921E+00    0.122516E+01   -0.162261E-01    0.622682E+00    0.174017E+02    0.897496E-01    0.666752E+00
    0.278002E+02   -0.455759E+00    0.114485E+01   -0.481950E-01    0.601408E+00    0.169457E+02    0.872679E-01    0.712469E+00
    0.280301E+02   -0.472095E+00    0.107018E+01   -0.723121E-01    0.576802E+00    0.163868E+02    0.834665E-01    0.751546E+00
    0.282628E+02   -0.477594E+00    0.100715E+01   -0.897865E-01    0.553247E+00    0.158481E+02    0.794297E-01    0.782400E+00
    0.284981E+02   -0.472992E+00    0.943998E+00   -0.103298E+00    0.526372E+00    0.152038E+02    0.742636E-01    0.807616E+00
    0.287362E+02   -0.461346E+00    0.898880E+00   -0.109334E+00    0.504611E+00    0.146970E+02    0.696184E-01    0.818552E+00
    0.289771E+02   -0.451498E+00    0.862149E+00   -0.113901E+00    0.486486E+00    0.142879E+02    0.657986E-01    0.825690E+00
    0.292206E+02   -0.440984E+00    0.825970E+00   -0.117850E+00    0.468158E+00    0.138651E+02    0.619568E-01    0.830350E+00
    0.294669E+02   -0.431873E+00    0.802126E+00   -0.119356E+00    0.455420E+00    0.136016E+02    0.591986E-01    0.830208E+00
    0.297158E+02   -0.427856E+00    0.778357E+00   -0.123028E+00    0.443775E+00    0.133658E+02    0.570092E-01    0.834083E+00
    0.299676E+02   -0.426156E+00    0.754603E+00   -0.127689E+00    0.432531E+00    0.131375E+02    0.550792E-01    0.839639E+00
    0.302220E+02   -0.425856E+00    0.730811E+00   -0.132961E+00    0.421441E+00    0.129093E+02    0.533079E-01    0.846114E+00
    0.304791E+02   -0.427178E+00    0.707148E+00   -0.138934E+00    0.410624E+00    0.126850E+02    0.517361E-01    0.853854E+00
    0.307390E+02   -0.428727E+00    0.680021E+00   -0.145773E+00    0.398033E+00    0.124009E+02    0.499585E-01    0.862115E+00
    0.310016E+02   -0.428517E+00    0.651877E+00   -0.151945E+00    0.384336E+00    0.120764E+02    0.479373E-01    0.867392E+00
    0.312669E+02   -0.426748E+00    0.623848E+00   -0.157241E+00    0.370122E+00    0.117293E+02    0.457760E-01    0.869106E+00
    0.315349E+02   -0.423308E+00    0.595129E+00   -0.161729E+00    0.354974E+00    0.113457E+02    0.434100E-01    0.866585E+00
    0.318057E+02   -0.417721E+00    0.566667E+00   -0.164901E+00    0.339281E+00    0.109372E+02    0.408602E-01    0.858378E+00
    0.320792E+02   -0.410189E+00    0.539148E+00   -0.166660E+00    0.323486E+00    0.105177E+02    0.382076E-01    0.844321E+00
    0.323554E+02   -0.401114E+00    0.512733E+00   -0.167150E+00    0.307818E+00    0.100945E+02    0.355206E-01    0.824913E+00
    0.326343E+02   -0.390118E+00    0.486614E+00   -0.166302E+00    0.291841E+00    0.965302E+01    0.327261E-01    0.799367E+00
    0.329159E+02   -0.377554E+00    0.463067E+00   -0.163863E+00    0.276909E+00    0.923817E+01    0.300253E-01    0.769380E+00
    0.332003E+02   -0.363938E+00    0.440346E+00   -0.160453E+00    0.262252E+00    0.882478E+01    0.273761E-01    0.735774E+00
    0.334873E+02   -0.348405E+00    0.418651E+00   -0.155580E+00    0.247893E+00    0.841372E+01    0.247322E-01    0.697933E+00
    0.337771E+02   -0.332033E+00    0.400913E+00   -0.149408E+00    0.235667E+00    0.806800E+01    0.223726E-01    0.660579E+00
    0.340697E+02   -0.315186E+00    0.383439E+00   -0.142775E+00    0.223651E+00    0.772295E+01    0.201197E-01    0.622470E+00
    0.343649E+02   -0.297391E+00    0.368863E+00   -0.135084E+00    0.213236E+00    0.742710E+01    0.180842E-01    0.585757E+00
    0.346629E+02   -0.279900E+00    0.356928E+00   -0.127129E+00    0.204456E+00    0.718305E+01    0.163305E-01    0.552569E+00
    0.349636E+02   -0.262069E+00    0.345207E+00   -0.118917E+00    0.195899E+00    0.694211E+01    0.146827E-01    0.520117E+00
    0.352670E+02   -0.244245E+00    0.337458E+00   -0.110216E+00    0.189630E+00    0.677825E+01    0.133362E-01    0.492608E+00
    0.355731E+02   -0.227236E+00    0.330419E+00   -0.101890E+00    0.183952E+00    0.663240E+01    0.121595E-01    0.467790E+00
    0.358819E+02   -0.209906E+00    0.324571E+00   -0.932868E-01    0.178982E+00    0.650921E+01    0.111073E-01    0.444864E+00
    0.361935E+02   -0.193220E+00    0.322393E+00   -0.846886E-01    0.176111E+00    0.646043E+01    0.103225E-01    0.427106E+00
    0.365078E+02   -0.177318E+00    0.320282E+00   -0.765525E-01    0.173416E+00    0.641681E+01    0.963436E-02    0.410941E+00
    0.368248E+02   -0.161809E+00    0.321100E+00   -0.683933E-01    0.172337E+00    0.643223E+01    0.914100E-02    0.398550E+00
    0.371446E+02   -0.147788E+00    0.323965E+00   -0.608718E-01    0.172482E+00    0.649354E+01    0.882734E-02    0.389747E+00
    0.374670E+02   -0.134118E+00    0.326800E+00   -0.535905E-01    0.172653E+00    0.655640E+01    0.855897E-02    0.381531E+00
    0.377922E+02   -0.121934E+00    0.335121E+00   -0.466089E-01    0.175752E+00    0.673203E+01    0.859487E-02    0.379394E+00
    0.381201E+02   -0.112603E+00    0.343663E+00   -0.410904E-01    0.179195E+00    0.692345E+01    0.873491E-02    0.379496E+00
    0.384507E+02   -0.105003E+00    0.354015E+00   -0.362921E-01    0.183674E+00    0.715804E+01    0.901135E-02    0.382163E+00
    0.387840E+02   -0.101491E+00    0.368975E+00   -0.330906E-01    0.190801E+00    0.750027E+01    0.960274E-02    0.391087E+00
    0.391201E+02   -0.103880E+00    0.383596E+00   -0.328157E-01    0.198305E+00    0.786281E+01    0.103352E-01    0.403709E+00
    0.394589E+02   -0.111274E+00    0.396729E+00   -0.351213E-01    0.205585E+00    0.822204E+01    0.111449E-01    0.418832E+00
    0.398004E+02   -0.124245E+00    0.408915E+00   -0.402412E-01    0.213030E+00    0.859353E+01    0.120949E-01    0.437736E+00
    0.401446E+02   -0.147601E+00    0.420774E+00   -0.505277E-01    0.221583E+00    0.901587E+01    0.134178E-01    0.465647E+00
    0.404915E+02   -0.171687E+00    0.406330E+00   -0.643396E-01    0.217135E+00    0.891124E+01    0.135183E-01    0.477358E+00
    0.408412E+02   -0.187468E+00    0.392081E+00   -0.740636E-01    0.211722E+00    0.876409E+01    0.134019E-01    0.481710E+00
    0.411936E+02   -0.199779E+00    0.374536E+00   -0.824614E-01    0.204098E+00    0.852143E+01    0.130307E-01    0.479786E+00
    0.415487E+02   -0.206989E+00    0.351041E+00   -0.888895E-01    0.192644E+00    0.811255E+01    0.122005E-01    0.466750E+00
    0.416000E+02   -0.207347E+00    0.347715E+00   -0.894454E-01    0.190936E+00    0.805052E+01    0.120588E-01    0.464112E+00
    0.416014E+02   -0.207349E+00    0.347622E+00   -0.894571E-01    0.190887E+00    0.804873E+01    0.120545E-01    0.464030E+00
    0.416054E+02   -0.207354E+00    0.347359E+00   -0.894883E-01    0.190749E+00    0.804371E+01    0.120424E-01    0.463797E+00
    0.416122E+02   -0.207366E+00    0.346924E+00   -0.895425E-01    0.190522E+00    0.803544E+01    0.120224E-01    0.463415E+00
    0.416218E+02   -0.207383E+00    0.346315E+00   -0.896188E-01    0.190203E+00    0.802382E+01    0.119946E-01    0.462879E+00
    0.416340E+02   -0.207401E+00    0.345530E+00   -0.897143E-01    0.189792E+00    0.800883E+01    0.119585E-01    0.462183E+00
    0.416490E+02   -0.207414E+00    0.344571E+00   -0.898262E-01    0.189288E+00    0.799046E+01    0.119142E-01    0.461321E+00
    0.416667E+02   -0.207416E+00    0.343438E+00   -0.899512E-01    0.188692E+00    0.796867E+01    0.118613E-01    0.460287E+00
    0.416871E+02   -0.207401E+00    0.342132E+00   -0.900857E-01    0.188002E+00    0.794343E+01    0.117999E-01    0.459073E+00
    0.417102E+02   -0.207360E+00    0.340649E+00   -0.902254E-01    0.187216E+00    0.791460E+01    0.117293E-01    0.457665E+00
    0.417361E+02   -0.207278E+00    0.338986E+00   -0.903622E-01    0.186330E+00    0.788204E+01    0.116488E-01    0.456044E+00
    0.417646E+02   -0.207140E+00    0.337151E+00   -0.904873E-01    0.185347E+00    0.784582E+01    0.115583E-01    0.454200E+00
    0.417959E+02   -0.206934E+00    0.335146E+00   -0.905938E-01    0.184266E+00    0.780590E+01    0.114575E-01    0.452120E+00
    0.418299E+02   -0.206640E+00    0.332962E+00   -0.906711E-01    0.183081E+00    0.776201E+01    0.113453E-01    0.449776E+00
    0.418667E+02   -0.206225E+00    0.330604E+00   -0.907022E-01    0.181791E+00    0.771406E+01    0.112206E-01    0.447138E+00
    0.419061E+02   -0.205653E+00    0.328077E+00   -0.906655E-01    0.180394E+00    0.766201E+01    0.110824E-01    0.444174E+00
    0.419483E+02   -0.204854E+00    0.325385E+00   -0.905243E-01    0.178886E+00    0.760561E+01    0.109282E-01    0.440822E+00
    0.419932E+02   -0.203660E+00    0.322526E+00   -0.901886E-01    0.177249E+00    0.754406E+01    0.107511E-01    0.436920E+00
    0.420408E+02   -0.202188E+00    0.320138E+00   -0.896542E-01    0.175833E+00    0.749231E+01    0.105847E-01    0.433209E+00
    0.420912E+02   -0.200830E+00    0.318060E+00   -0.891469E-01    0.174595E+00    0.744843E+01    0.104378E-01    0.429907E+00
    0.421442E+02   -0.199635E+00    0.315878E+00   -0.887347E-01    0.173319E+00    0.740332E+01    0.102942E-01    0.426653E+00
    0.422000E+02   -0.198476E+00    0.313596E+00   -0.883498E-01    0.171994E+00    0.735645E+01    0.101486E-01    0.423330E+00
    0.422585E+02   -0.197300E+00    0.311215E+00   -0.879639E-01    0.170616E+00    0.730762E+01    0.999930E-02    0.419890E+00
    0.423197E+02   -0.196076E+00    0.308735E+00   -0.875601E-01    0.169181E+00    0.725669E+01    0.984497E-02    0.416303E+00
    0.423837E+02   -0.194778E+00    0.306160E+00   -0.871243E-01    0.167690E+00    0.720360E+01    0.968499E-02    0.412550E+00
    0.424504E+02   -0.193385E+00    0.303494E+00   -0.866445E-01    0.166142E+00    0.714834E+01    0.951884E-02    0.408616E+00
    0.425197E+02   -0.191873E+00    0.300735E+00   -0.861077E-01    0.164535E+00    0.709077E+01    0.934578E-02    0.404480E+00
    0.425919E+02   -0.190214E+00    0.297889E+00   -0.854986E-01    0.162870E+00    0.703089E+01    0.916523E-02    0.400124E+00
    0.426667E+02   -0.188374E+00    0.294957E+00   -0.847991E-01    0.161144E+00    0.696859E+01    0.897630E-02    0.395525E+00
    0.427442E+02   -0.186303E+00    0.291939E+00   -0.839815E-01    0.159352E+00    0.690364E+01    0.877742E-02    0.390642E+00
    0.428245E+02   -0.183913E+00    0.288842E+00   -0.829988E-01    0.157493E+00    0.683592E+01    0.856633E-02    0.385417E+00
    0.429075E+02   -0.180997E+00    0.285664E+00   -0.817418E-01    0.155547E+00    0.676453E+01    0.833620E-02    0.379686E+00
    0.429932E+02   -0.177391E+00    0.282852E+00   -0.800844E-01    0.153738E+00    0.669922E+01    0.810005E-02    0.373801E+00
    0.430817E+02   -0.173829E+00    0.281556E+00   -0.783166E-01    0.152740E+00    0.666943E+01    0.792826E-02    0.369577E+00
    0.431728E+02   -0.170833E+00    0.280229E+00   -0.768511E-01    0.151779E+00    0.664148E+01    0.777713E-02    0.365812E+00
    0.432667E+02   -0.168062E+00    0.278879E+00   -0.755071E-01    0.150828E+00    0.661422E+01    0.763477E-02    0.362230E+00
    0.433633E+02   -0.165390E+00    0.277503E+00   -0.742182E-01    0.149875E+00    0.658710E+01    0.749667E-02    0.358725E+00
    0.434626E+02   -0.162749E+00    0.276098E+00   -0.729480E-01    0.148912E+00    0.655977E+01    0.736037E-02    0.355239E+00
    0.435647E+02   -0.160087E+00    0.274675E+00   -0.716685E-01    0.147940E+00    0.653226E+01    0.722462E-02    0.351741E+00
    0.436694E+02   -0.157348E+00    0.273223E+00   -0.703513E-01    0.146950E+00    0.650414E+01    0.708747E-02    0.348182E+00
    0.437769E+02   -0.154438E+00    0.271749E+00   -0.689474E-01    0.145937E+00    0.647519E+01    0.694651E-02    0.344500E+00
    0.438871E+02   -0.151155E+00    0.270258E+00   -0.673493E-01    0.144887E+00    0.644481E+01    0.679641E-02    0.340557E+00
    0.440000E+02   -0.147526E+00    0.269383E+00   -0.655222E-01    0.144136E+00    0.642789E+01    0.666182E-02    0.337033E+00
    0.441157E+02   -0.144153E+00    0.269490E+00   -0.637524E-01    0.143920E+00    0.643514E+01    0.657265E-02    0.334729E+00
    0.442341E+02   -0.141288E+00    0.269599E+00   -0.622498E-01    0.143748E+00    0.644468E+01    0.649932E-02    0.332809E+00
